"Hello world from tornado!", 欢迎来到Tornado的世界!
"Email", 电子邮件
"Nickname", 昵称
"Password", 密码
"Retype password", 确认密码
"Register", 注册
"Edit", 编辑
"Save changes", 修改Todo
"Publish post", 创建Todo
"Cancel", 取消
"Edit Todo", 编辑Todo
"Complete Todo", 完成Todo
"Share Todo", 分享Todo
"Back", 返回
"My Todo", 我的Todo
"My Achievement",我的成就
"My Giveup",My Giveup
"New Todo", 新建Todo
"Find Todo", 寻找Todo
"Give up Todo", 放弃Todo
"Remove Todo", 删除Todo
"Todo Type", Todo类型
"Todo Type Public", 公开
"Todo Type Friends", 朋友可见
"Todo Type Private", 私有
